,I0T,I0N,I0G,I0A,D0D,D0G,D0A,D0L,D0N,D0I,D0K,D0T,D0V,D0Q,D0S,D0R,D0Y,Y0L,Y0N,Y0D,Y0F,Y0G,Y0A,Y0T,Y0S,V0G,V0D,V0A,V0V,V0T,E0A,E0G,E0L,K0N,K0L,K0I,K0G,K0D,K0A,K0Y,K0V,K0T,K0S,F0D,F0A,F0N,L0Y,L0T,L0S,L0N,L0K,L0D,L0G,L0A,A0D,A0G,A0A,A0L,A0N,A0I,A0K,A0T,A0V,A0Q,A0S,A0Y,Q0T,Q0V,Q0S,V0N,Q0Y,Q0G,V0S,Q0A,Q0L,Q0N,Q0I,V0Y,Q0K,G0S,G0Q,G0V,G0T,G0Y,G0A,G0G,G0D,G0E,G0K,G0N,G0L,N0N,N0L,N0K,N0I,N0G,N0D,N0A,N0Y,N0V,N0T,N0S,N0Q,S0G,S0D,S0E,S0A,S0N,S0L,S0K,S0V,S0T,S0S,S0Y,T0T,T0V,T0Q,T0S,T0Y,T0E,T0D,T0G,T0A,T0L,T0N,T0K
BAA77237.1,4,6,5,4,11,11,6,3,12,6,11,6,12,7,8,5,9,8,9,14,9,10,6,3,5,18,8,12,7,8,6,10,6,4,6,5,11,13,9,10,4,6,5,7,11,4,6,10,8,11,8,7,4,10,11,14,16,9,9,4,4,16,6,10,21,5,5,7,1,6,6,4,7,7,8,0,7,6,10,6,12,6,15,6,9,5,7,5,11,5,12,5,6,10,3,7,9,8,5,6,5,3,4,7,6,10,9,7,6,5,7,8,6,7,8,9,7,11,6,5,9,7,13,7,5,12
BAA90527.1,5,8,5,3,9,5,11,11,5,6,15,9,7,9,15,3,8,4,7,6,4,2,4,4,7,4,5,8,3,6,1,1,2,2,6,3,3,4,8,2,3,10,4,3,1,1,3,6,7,6,3,4,2,7,12,2,6,5,3,3,6,29,4,4,13,4,2,3,3,2,1,6,4,5,4,7,6,5,3,4,1,4,8,2,5,1,4,1,2,4,6,4,4,2,0,2,12,9,3,3,6,6,6,6,18,1,5,6,4,8,5,12,8,5,25,6,3,9,4,3,32,4,17,4,3,3
CAB76565.1,5,10,9,5,7,12,4,11,8,14,9,14,6,10,11,5,6,7,9,13,8,5,7,9,2,7,11,11,5,4,2,3,4,2,4,2,10,4,7,8,4,9,4,9,6,9,5,10,5,13,9,9,6,6,12,8,6,6,13,4,7,13,2,7,6,5,6,7,4,14,6,9,6,7,6,5,14,10,10,2,15,8,10,4,11,6,4,4,6,3,12,14,9,5,3,7,11,9,8,9,10,8,11,8,7,2,6,8,5,4,4,15,0,8,12,12,14,12,8,0,17,7,7,4,11,4
BAA95201.1,8,6,4,5,11,5,8,11,13,8,18,6,8,7,7,7,5,3,6,19,10,7,4,9,3,15,8,15,5,5,13,8,3,8,5,9,16,6,16,5,20,12,7,6,6,3,6,7,6,8,7,11,6,9,12,11,10,8,9,7,12,12,6,6,11,6,5,6,3,7,4,15,4,6,8,7,5,3,10,7,21,7,5,5,10,6,1,7,8,7,10,10,6,6,6,8,7,3,12,5,4,3,7,2,3,9,2,9,4,10,5,5,1,8,9,5,4,7,4,6,13,7,14,7,2,10
CAB65910.2,5,10,13,6,12,13,9,14,26,6,10,8,10,15,15,10,8,11,17,16,8,10,14,7,7,14,6,12,12,13,1,9,6,9,9,8,11,5,10,12,11,9,10,10,5,11,6,14,7,14,15,7,16,12,13,16,10,9,11,6,6,18,5,8,9,13,18,16,8,10,8,9,12,6,8,10,10,7,15,8,27,7,17,9,10,10,14,6,7,11,12,20,10,12,10,12,21,9,14,12,12,12,17,13,11,8,13,11,8,12,11,8,5,3,15,10,13,16,16,4,18,6,10,4,14,7
AAG38021.1,5,10,10,5,7,12,4,11,8,14,9,13,6,10,11,5,6,7,9,13,8,5,7,9,3,8,11,11,5,4,2,2,4,2,6,2,11,5,7,9,4,9,3,9,6,8,5,11,5,14,10,9,6,6,12,8,6,6,13,4,7,13,2,7,6,5,6,7,4,14,6,9,6,7,6,5,14,10,10,3,15,7,10,4,11,6,4,4,6,3,13,14,9,5,3,7,9,9,8,9,10,8,11,8,7,2,6,8,5,5,5,15,0,8,12,12,14,12,8,0,17,7,7,4,11,4
BAB83121.1,4,1,1,3,2,2,2,3,0,1,4,2,5,4,2,1,1,0,3,1,2,0,1,1,0,2,2,6,3,3,6,2,2,3,3,4,2,1,6,1,4,2,1,1,1,2,2,2,0,2,0,2,4,6,7,2,11,4,1,3,5,4,5,9,4,2,3,2,3,3,0,4,1,4,1,3,1,2,2,2,0,3,5,1,1,2,0,3,1,1,3,3,1,5,0,2,2,4,0,2,3,0,1,1,1,3,3,1,3,1,1,1,3,1,6,1,2,4,1,3,3,1,8,2,3,5
BAB83942.1,2,3,2,2,2,4,1,1,6,0,3,1,3,1,3,3,3,5,5,6,6,3,1,3,4,9,5,6,1,2,1,3,1,3,3,3,3,0,2,2,2,1,2,3,2,4,3,1,3,4,2,3,2,2,1,7,1,1,3,2,3,3,1,2,2,6,1,1,3,5,1,2,2,1,2,1,2,2,7,4,9,5,2,2,6,3,3,2,2,3,3,2,2,2,5,6,2,1,9,8,1,0,2,9,2,0,1,7,1,3,3,2,3,2,3,5,0,2,1,0,2,2,3,2,1,1
AAG61158.1,6,11,12,8,14,13,4,12,18,7,8,10,11,6,16,4,8,9,5,18,13,4,7,9,4,11,9,10,4,5,7,9,7,3,4,3,10,3,7,7,5,4,5,8,3,8,9,11,7,12,9,11,2,7,16,11,9,8,9,6,7,14,4,8,5,8,6,7,7,11,7,8,10,10,4,7,10,7,9,8,18,5,7,6,12,6,7,4,4,4,11,5,6,6,5,5,12,10,9,10,14,7,8,5,13,5,6,7,9,5,7,11,3,10,14,9,11,13,6,10,17,4,7,5,7,4
BAC07265.1,5,5,5,2,10,10,17,7,20,6,6,10,11,12,14,5,10,7,11,22,12,10,9,6,6,18,5,14,7,5,3,9,2,7,5,4,6,9,10,7,8,6,5,6,5,4,3,7,14,11,7,7,5,8,17,15,10,8,14,5,7,9,8,7,14,11,8,4,0,6,7,7,7,8,8,6,8,6,12,7,15,5,11,9,10,8,13,3,10,7,13,13,6,7,6,8,18,15,12,7,13,5,9,8,10,6,7,11,7,4,8,8,6,11,8,6,9,9,6,3,13,12,7,6,12,8
AAN58619.1,5,14,9,6,7,7,6,9,7,7,11,5,8,9,15,5,6,11,9,10,8,9,10,3,7,7,6,12,7,9,6,2,3,10,4,9,8,3,12,9,6,8,8,5,4,6,8,6,9,12,7,3,6,9,15,9,7,6,8,6,12,13,2,4,14,6,4,7,7,5,5,6,3,4,5,10,6,7,11,3,15,6,9,5,9,5,9,3,7,4,11,7,6,16,5,7,13,6,9,8,7,6,7,14,5,11,5,11,10,9,7,9,7,9,9,4,12,13,7,4,9,6,11,6,6,5
AAN58705.1,7,9,12,9,7,6,4,7,14,8,11,6,8,5,7,5,5,6,14,14,8,7,7,4,6,13,11,11,9,9,6,7,6,2,6,9,4,3,5,8,9,7,5,4,6,7,1,6,4,11,8,5,1,11,12,12,5,9,9,7,7,13,3,3,12,5,5,4,6,9,3,7,5,6,6,3,3,11,10,7,14,7,4,7,12,3,3,1,5,6,5,3,8,4,4,14,10,6,13,10,10,7,12,9,8,5,6,4,5,4,11,6,8,8,10,9,2,10,3,5,10,6,10,5,9,7
AAN58706.1,7,8,8,10,8,9,5,6,8,5,7,7,7,3,6,9,4,10,11,8,8,5,3,7,6,12,8,13,6,6,4,5,5,5,5,8,6,5,7,7,8,8,3,6,4,6,6,7,9,10,8,5,3,13,13,11,3,9,9,6,9,8,4,5,15,7,5,5,7,10,4,6,5,6,3,6,4,7,9,8,10,7,4,6,11,4,3,3,4,6,11,9,9,7,8,8,9,10,10,12,9,5,6,10,6,1,11,12,6,6,12,7,7,4,18,6,6,11,3,5,9,5,8,5,10,8
AAN38835.1,5,9,9,4,7,12,4,10,7,13,8,10,5,8,9,5,6,6,9,11,8,5,7,8,2,7,8,8,4,4,1,3,4,2,2,2,8,3,6,5,3,8,2,9,6,8,5,9,5,13,7,9,6,5,11,6,5,6,11,4,6,11,2,5,4,5,4,5,4,12,6,9,5,6,6,5,12,10,9,2,14,8,9,4,11,6,4,4,6,3,11,11,8,2,3,7,9,9,8,7,6,7,10,8,7,2,6,4,5,4,4,10,0,8,8,10,10,12,6,0,14,7,5,4,7,1
AAS79426.1,8,10,11,3,14,11,7,10,11,10,10,6,8,10,21,4,9,8,10,14,8,5,10,6,10,11,7,9,6,8,1,0,4,4,9,4,9,6,6,5,4,13,6,5,5,2,4,7,7,9,5,7,5,6,13,8,6,6,6,4,7,22,6,5,10,8,3,7,5,7,4,5,5,6,8,6,10,6,8,5,13,6,8,7,8,3,5,7,5,6,8,9,4,9,3,5,13,12,8,7,11,9,10,11,10,5,9,11,4,12,6,13,11,6,21,9,3,12,6,5,29,10,16,4,7,6
AAU08001.1,6,11,6,2,9,12,9,5,18,9,8,16,8,5,10,9,3,7,14,14,6,8,6,5,6,10,11,9,9,5,2,5,4,6,0,6,16,4,6,12,10,6,7,3,2,5,5,11,11,16,8,6,7,7,14,6,8,7,14,5,3,16,7,9,6,7,5,9,7,13,8,7,6,8,9,6,9,7,2,8,12,7,6,8,7,12,9,9,3,11,15,16,12,10,10,13,22,13,10,11,17,7,12,6,15,6,10,13,7,6,10,6,4,4,22,7,11,13,8,9,8,7,12,9,12,13
AAU08004.1,8,12,6,7,7,11,7,8,18,9,9,16,10,5,10,6,5,6,8,10,7,4,9,4,10,12,8,9,8,6,4,6,2,10,5,7,12,3,6,8,13,5,7,7,3,6,8,5,10,18,7,5,8,6,11,6,8,8,15,8,6,10,9,8,8,5,3,6,9,13,5,10,8,7,6,10,10,3,2,10,16,7,8,7,8,12,12,7,3,12,13,19,15,16,6,12,21,13,8,9,16,15,7,9,16,4,6,14,5,8,11,10,5,7,15,7,9,8,7,4,8,7,10,7,16,8
AAU08006.1,5,6,8,9,9,9,2,8,8,5,3,7,11,15,10,5,6,6,9,12,8,4,7,4,8,9,4,7,2,6,3,2,2,10,8,10,8,5,8,7,8,10,4,3,6,8,4,9,7,11,15,12,4,6,11,7,7,11,17,9,14,16,3,6,9,5,25,6,7,13,7,6,3,13,3,6,11,5,7,4,15,4,11,4,8,5,6,6,6,13,10,24,8,12,2,8,13,17,7,5,8,15,14,11,11,2,8,7,9,3,7,16,7,7,16,6,15,7,9,4,9,8,11,5,21,12
AAU08008.1,8,6,4,4,11,11,9,12,10,7,7,7,11,12,9,4,11,6,5,18,11,4,4,5,3,9,13,11,3,12,1,4,5,1,6,1,5,5,4,6,5,2,2,10,11,3,2,8,4,8,3,6,9,10,15,16,14,7,3,5,6,18,9,10,12,10,9,7,5,5,4,9,6,8,2,4,8,4,6,3,13,5,10,4,12,8,6,6,1,3,11,2,3,2,2,6,13,9,3,10,6,3,6,4,7,0,14,6,2,6,11,7,12,5,19,6,8,8,7,7,12,10,22,8,7,2
AAU08011.1,6,7,11,6,12,8,10,10,7,10,12,13,8,13,14,5,5,8,6,14,13,5,8,5,3,14,6,13,5,9,4,4,6,2,1,2,12,10,8,10,6,9,7,6,4,4,5,10,7,10,7,4,6,5,18,10,19,9,9,4,16,12,4,11,9,7,6,9,5,11,7,5,5,13,3,3,5,6,7,12,12,4,16,6,8,7,8,6,1,6,9,9,6,7,6,3,15,9,3,8,7,8,2,8,12,4,7,7,8,5,9,15,7,5,16,12,10,13,7,7,17,5,19,4,9,9
AAU08015.1,7,12,3,7,11,12,8,3,14,10,7,20,9,4,11,7,8,10,11,11,8,5,5,8,8,14,6,8,11,11,6,6,3,8,1,6,13,3,5,10,14,8,9,7,5,5,5,8,9,14,6,6,6,7,13,7,7,10,14,4,3,9,9,8,8,8,4,7,6,19,9,8,7,10,8,9,10,4,5,8,12,8,5,8,9,10,10,8,3,14,12,14,16,11,9,14,22,12,11,12,17,12,13,7,10,7,9,16,6,6,8,7,3,7,21,8,9,7,7,9,12,8,7,4,13,14
AAQ98615.2,6,11,12,9,14,13,5,11,18,7,7,10,11,6,16,4,8,9,5,19,13,3,7,9,4,11,9,9,4,5,5,9,7,3,4,3,10,3,7,7,5,4,5,7,3,7,9,11,7,12,9,11,2,6,16,11,11,8,9,6,7,14,5,8,5,7,6,7,7,11,7,8,10,12,4,7,10,7,9,9,18,5,6,6,12,6,6,4,5,5,11,5,7,6,5,5,11,11,9,10,14,6,8,5,13,5,5,8,9,5,7,12,3,10,12,10,11,13,6,9,18,4,8,5,7,4
AAX76986.1,4,5,7,5,8,11,9,5,11,7,13,6,7,8,5,2,7,8,8,15,9,10,6,4,4,13,6,11,8,4,7,10,6,4,6,7,15,11,14,9,4,5,7,6,8,3,5,9,8,11,10,6,4,8,10,14,14,9,6,8,9,17,4,9,15,3,4,7,4,7,6,4,7,6,10,0,6,8,10,4,10,7,14,6,8,4,6,5,14,5,11,9,6,9,3,4,11,6,8,6,4,3,2,8,5,9,9,7,5,9,8,9,6,7,10,9,8,11,6,4,9,7,10,5,7,10
AAY86923.1,1,10,6,7,8,16,6,10,16,8,7,18,9,5,11,5,10,11,13,8,9,5,6,7,11,12,5,7,10,13,8,1,3,6,2,5,15,5,9,13,7,11,3,5,6,7,5,5,7,17,7,5,11,11,19,10,8,11,16,3,9,13,12,10,10,3,8,5,6,19,8,7,8,15,9,9,9,8,3,11,12,11,7,10,12,10,15,8,5,10,11,10,10,8,9,14,21,15,10,13,11,14,17,11,10,4,9,9,7,7,5,5,6,12,11,6,12,5,8,2,12,10,13,3,14,10
ABB85334.1,0,1,1,2,2,1,0,2,2,1,2,2,4,0,2,2,3,1,0,2,1,1,0,1,0,0,2,5,0,2,0,0,3,0,0,0,0,0,2,2,0,2,1,1,0,0,2,1,0,2,1,2,0,2,4,1,4,2,0,1,2,1,0,2,0,1,1,2,1,3,0,0,0,2,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,1,4,4,0,0,0,2,0,0,2,1,1,1,3,0,2,1,0,1,1,0,3,1,1,1,1,1,0,1,3,1
ABC75033.1,6,11,12,9,14,13,5,11,17,7,8,10,11,6,16,4,8,9,5,19,13,3,7,9,4,11,9,9,4,5,5,9,7,3,4,3,10,3,7,7,5,4,4,8,3,7,9,11,7,12,9,11,2,6,16,11,11,8,9,6,7,14,5,8,5,7,6,7,7,11,7,8,10,12,4,7,10,7,9,9,18,5,6,6,12,6,6,3,4,6,11,5,7,6,5,5,11,11,9,10,14,6,8,6,12,5,5,8,9,5,7,12,3,10,13,10,11,13,6,9,18,4,7,5,7,4
ABF85832.1,5,10,10,5,7,12,4,11,8,14,9,14,6,10,11,5,6,7,9,13,8,5,7,9,3,8,11,11,5,4,2,3,4,2,5,2,11,4,7,9,4,9,4,9,6,9,5,11,5,13,10,9,6,6,12,8,6,6,13,4,7,13,2,7,6,5,6,7,4,14,6,9,6,7,6,5,14,10,10,3,15,8,10,4,11,6,4,4,6,3,13,14,9,5,3,7,11,9,8,9,10,8,11,8,7,2,6,8,5,5,5,15,0,8,12,12,14,12,8,0,17,7,7,4,11,4
ABJ56490.1,6,11,12,8,14,10,1,12,14,11,7,8,8,8,12,5,7,8,7,11,7,5,10,4,8,7,7,9,6,4,1,3,5,3,5,3,8,7,7,4,9,7,10,5,6,4,4,9,11,10,11,9,3,5,14,8,3,6,9,8,9,9,1,6,8,6,9,8,10,11,3,7,5,5,7,9,6,5,10,3,13,2,10,5,11,6,7,9,2,7,10,10,7,11,6,12,10,9,9,8,9,11,10,5,13,6,6,12,4,5,6,9,12,10,14,6,8,5,5,5,10,11,12,5,8,4
ABJ61965.1,7,16,18,9,22,24,20,19,20,14,8,28,31,24,22,13,12,14,18,27,12,12,12,13,12,28,20,19,9,9,9,10,8,11,11,12,13,16,24,10,9,16,9,12,9,9,11,16,17,24,5,25,10,13,27,10,7,13,15,7,12,59,13,8,10,10,7,7,10,17,11,8,12,7,13,12,21,15,16,12,32,10,20,15,21,12,14,12,10,13,23,15,14,10,5,17,25,16,13,17,14,24,19,26,19,9,12,15,16,11,15,13,14,14,30,14,7,16,10,13,37,18,29,7,26,29
ABJ62834.1,6,11,12,8,14,13,5,11,18,7,8,10,11,6,16,4,8,9,5,18,13,4,7,9,4,11,9,10,4,5,6,9,7,3,4,3,10,3,7,7,5,4,5,9,3,7,9,11,7,12,9,11,2,7,16,11,10,8,9,6,7,14,4,8,5,8,6,7,7,11,7,8,10,10,4,7,10,7,9,8,18,5,7,6,12,6,6,4,4,5,11,5,7,6,5,5,11,11,9,10,14,6,8,5,14,5,5,7,9,5,7,11,3,10,14,10,11,13,6,9,18,4,7,5,7,4
ABJ62839.1,8,11,10,3,14,8,11,11,12,10,20,11,10,11,18,3,9,8,10,14,8,5,10,6,10,13,7,10,6,9,1,1,4,5,9,3,8,4,13,5,4,11,6,5,5,1,4,7,7,9,4,8,4,8,16,9,7,7,4,3,7,30,6,6,19,7,3,7,5,7,4,7,4,6,8,7,10,7,8,6,13,6,9,6,8,3,5,8,3,7,7,8,4,3,3,7,14,10,9,7,10,8,9,11,22,3,7,7,4,12,6,14,11,6,27,12,3,13,6,6,30,9,20,4,4,5
ABK41039.1,0,1,0,2,1,1,1,2,1,1,3,2,3,0,1,1,2,1,1,0,1,0,0,0,0,0,1,5,0,1,0,0,1,0,0,0,0,1,2,2,0,2,1,1,1,1,1,1,0,3,1,1,0,0,4,1,3,2,1,1,2,1,0,3,0,2,2,1,0,3,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,0,0,1,5,2,0,0,0,2,1,0,0,1,2,1,2,0,2,2,0,1,0,0,1,0,1,0,3,0,0,1,3,1
ABK41040.1,0,1,0,2,1,1,1,2,1,1,3,2,3,0,1,2,2,1,1,0,1,0,0,0,0,0,1,5,0,1,1,0,1,0,0,0,0,1,2,2,0,2,1,1,1,0,1,1,0,4,1,1,0,0,5,1,3,2,1,1,2,1,0,3,0,2,1,1,0,3,0,0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,0,1,5,2,0,0,1,2,0,0,0,1,2,1,2,0,2,2,0,1,0,0,2,0,1,0,3,0,0,1,3,1
ABK41041.1,0,1,0,2,1,1,1,2,1,1,3,2,3,0,1,2,2,1,1,0,1,0,0,0,0,0,1,5,0,1,1,0,1,0,0,0,0,1,2,2,0,2,1,1,1,1,1,1,0,4,1,1,0,0,5,1,3,2,1,1,2,1,0,3,0,2,1,1,0,3,0,0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,3,0,0,1,5,2,0,1,0,2,1,0,0,1,2,1,2,0,2,2,0,1,0,0,1,0,1,0,3,0,0,1,3,1
BAF43788.1,8,7,4,5,6,5,9,11,13,7,13,5,7,9,7,4,5,3,7,20,10,8,6,6,4,14,4,15,7,6,14,6,4,9,5,9,15,4,13,4,19,9,7,6,6,3,5,7,5,7,6,11,5,11,13,14,16,9,10,7,18,11,7,10,9,6,8,6,5,6,5,15,4,6,8,5,6,5,8,6,21,7,7,5,11,5,3,6,7,8,11,10,5,11,5,8,7,7,12,3,5,2,6,2,3,11,4,9,6,4,4,2,4,7,11,4,2,6,6,7,10,9,15,7,3,8
